voted_for,gender,education,age,white
Trump,Female,Some college,71,Yes
Biden,Male,4-year,64,No
Trump,Female,Some college,62,Yes
Biden,Female,4-year,77,Yes
Biden,Female,Some college,59,Yes
Biden,Female,Post-grad,59,No
Trump,Male,High school graduate,65,Yes
Trump,Male,4-year,68,Yes
Biden,Male,Post-grad,30,Yes
Trump,Female,Post-grad,53,Yes
Trump,Male,4-year,72,Yes
Biden,Male,2-year,75,Yes
Biden,Female,Post-grad,33,No
Trump,Male,4-year,67,Yes
Trump,Male,4-year,75,Yes
Biden,Male,4-year,37,Yes
Biden,Male,Some college,48,Yes
Biden,Male,Post-grad,70,Yes
Trump,Male,Post-grad,31,Yes
Biden,Female,Post-grad,66,Yes
Biden,Female,Post-grad,73,Yes
Biden,Male,4-year,40,Yes
Biden,Female,Some college,66,Yes
Trump,Female,4-year,61,Yes
Trump,Male,4-year,50,Yes
Trump,Male,4-year,80,No
Trump,Male,Some college,76,Yes
Biden,Male,Post-grad,59,No
Trump,Female,Some college,55,Yes
Biden,Female,Post-grad,79,Yes
Biden,Male,4-year,85,Yes
Biden,Male,Post-grad,82,Yes
Trump,Female,2-year,76,Yes
Trump,Male,Post-grad,63,Yes
Biden,Female,4-year,51,Yes
Biden,Female,4-year,70,Yes
Trump,Male,4-year,61,No
Biden,Male,4-year,55,Yes
Biden,Female,Post-grad,30,Yes
Biden,Female,Post-grad,69,Yes
Trump,Male,Some college,62,Yes
Trump,Female,Post-grad,55,Yes
Trump,Male,4-year,82,Yes
Biden,Male,4-year,62,Yes
Trump,Male,4-year,59,Yes
Biden,Female,4-year,62,Yes
Trump,Male,Post-grad,44,Yes
Trump,Male,Some college,69,Yes
Biden,Male,4-year,72,Yes
Biden,Male,2-year,68,Yes
Biden,Male,4-year,65,Yes
Biden,Female,4-year,71,Yes
Biden,Male,Post-grad,56,Yes
Biden,Male,4-year,68,Yes
Trump,Female,Some college,66,Yes
Biden,Female,2-year,54,Yes
Biden,Female,Post-grad,64,Yes
Trump,Female,Some college,61,Yes
Trump,Male,4-year,75,Yes
Biden,Female,Some college,76,No
Biden,Female,Some college,70,Yes
Biden,Female,Post-grad,62,Yes
Biden,Male,Post-grad,34,Yes
Trump,Female,High school graduate,51,Yes
Biden,Male,Some college,55,Yes
Biden,Female,4-year,49,Yes
Trump,Female,Some college,73,Yes
Biden,Female,Some college,38,Yes
Trump,Female,Some college,48,Yes
Biden,Male,4-year,61,Yes
Trump,Male,2-year,58,Yes
Biden,Female,Some college,76,Yes
Biden,Female,Post-grad,46,Yes
Biden,Male,Some college,61,Yes
Biden,Female,Post-grad,76,Yes
Trump,Male,4-year,73,Yes
Trump,Male,2-year,77,Yes
Biden,Male,4-year,77,Yes
Biden,Male,2-year,84,Yes
Biden,Female,Post-grad,72,Yes
Biden,Female,Some college,50,Yes
Biden,Female,4-year,73,Yes
Biden,Male,Some college,52,Yes
Biden,Male,Some college,61,Yes
Biden,Female,Post-grad,48,Yes
Biden,Male,Post-grad,62,Yes
Biden,Female,4-year,54,Yes
Trump,Female,2-year,62,Yes
Trump,Female,4-year,70,Yes
Biden,Male,4-year,65,Yes
Trump,Female,4-year,56,No
Biden,Female,Post-grad,32,Yes
Biden,Male,Post-grad,51,Yes
Trump,Male,4-year,79,Yes
Biden,Female,Some college,63,Yes
Trump,Male,Post-grad,68,Yes
Biden,Male,Post-grad,67,Yes
Biden,Male,4-year,32,Yes
Trump,Female,4-year,59,Yes
Trump,Male,2-year,53,Yes
Biden,Female,Post-grad,73,Yes
Biden,Female,4-year,57,No
Trump,Female,2-year,55,Yes
Trump,Male,Some college,69,No
Biden,Male,Post-grad,76,Yes
Trump,Female,4-year,56,Yes
Biden,Female,4-year,44,Yes
Biden,Male,4-year,44,Yes
Trump,Male,4-year,76,Yes
Biden,Male,Post-grad,40,Yes
Biden,Female,4-year,72,Yes
Biden,Female,4-year,46,Yes
Biden,Male,Post-grad,68,No
Biden,Male,Post-grad,80,Yes
Biden,Male,4-year,67,Yes
Biden,Female,4-year,52,No
Trump,Male,Some college,55,No
